日付	基準価額	前日差	純資産（百万）
2021年12月21日	9,871	-86	135,249
2021年12月20日	9,957	-52	136,434
2021年12月17日	10,009	+69	137,153
2021年12月16日	9,940	0	136,240
2021年12月15日	9,940	-17	136,278
2021年12月14日	9,957	+10	136,514
2021年12月13日	9,947	-30	136,412
2021年12月10日	9,977	+6	136,858
2021年12月9日	9,971	+37	136,808
2021年12月8日	9,934	+92	136,334
2021年12月7日	9,842	-24	135,095
2021年12月6日	9,866	+56	135,461
2021年12月3日	9,810	-37	134,739
2021年12月2日	9,847	+7	135,261
2021年12月1日	9,840	-8	135,233
2021年11月30日	9,848	-124	135,386
2021年11月29日	9,972	-80	137,095
2021年11月26日	10,052	+7	138,250
2021年11月25日	10,045	-22	138,226
2021年11月24日	10,067	-50	138,542
