日付	始値	高値	安値	終値
2021年12月21日	28,309.60	28,533.74	28,226.43	28,517.59
2021年12月20日	28,325.46	28,441.51	27,893.18	27,937.81
2021年12月17日	28,854.60	28,904.94	28,503.08	28,545.68
2021年12月16日	28,868.37	29,070.08	28,782.19	29,066.32
2021年12月15日	28,358.47	28,525.83	28,358.47	28,459.72
2021年12月14日	28,554.86	28,672.96	28,309.67	28,432.64
2021年12月13日	28,705.26	28,793.32	28,593.45	28,640.49
2021年12月10日	28,542.50	28,699.01	28,392.87	28,437.77
2021年12月9日	28,827.32	28,908.29	28,725.47	28,725.47
2021年12月8日	28,792.89	28,897.44	28,621.47	28,860.62
2021年12月7日	28,138.82	28,618.46	27,961.66	28,455.60
2021年12月6日	28,069.96	28,081.04	27,693.91	27,927.37
2021年12月3日	27,841.05	28,029.57	27,588.61	28,029.57
2021年12月2日	27,716.20	27,938.55	27,644.96	27,753.37
2021年12月1日	27,866.73	28,106.30	27,594.01	27,935.62
2021年11月30日	28,611.73	28,718.70	27,819.14	27,821.76
2021年11月29日	28,337.96	28,776.34	28,187.12	28,283.92
2021年11月26日	29,324.47	29,332.99	28,605.61	28,751.62
2021年11月25日	29,469.65	29,570.42	29,444.45	29,499.28
2021年11月24日	29,663.45	29,758.05	29,212.93	29,302.66
